Year,Price,Commodity
1850,191.12218,Tea
1851,182.44576,Tea
1852,155.16415,Tea
1853,193.16353,Tea
1854,180.65268,Tea
1855,170.49753,Tea
1856,168.6225,Tea
1857,195.23853,Tea
1858,196.8768,Tea
1859,218.6995,Tea
1860,219.52345,Tea
1861,189.07704,Tea
1862,186.62985,Tea
1863,145.85466,Tea
1864,113.43502,Tea
1865,119.44593,Tea
1866,118.79009,Tea
1867,124.84176,Tea
1868,132.66905,Tea
1869,127.692696,Tea
1870,128.84564,Tea
1871,131.73077,Tea
1872,134.45512,Tea
1873,136.33731,Tea
1874,146.08882,Tea
1875,149.17342,Tea
1876,149.93213,Tea
1877,149.36465,Tea
1878,150.00928,Tea
1879,144.02461,Tea
1880,128.95288,Tea
1881,122.73021,Tea
1882,120.43261,Tea
1883,121.74074,Tea
1884,117.51733,Tea
1885,122.76329,Tea
1886,122.438705,Tea
1887,108.8659,Tea
1888,113.08471,Tea
1889,114.76083,Tea
1890,114.556076,Tea
1891,115.73929,Tea
1892,108.85516,Tea
1893,107.22036,Tea
1894,109.09119,Tea
1895,112.23776,Tea
1896,111.30536,Tea
1897,110.44776,Tea
1898,107.733765,Tea
1899,104.075775,Tea
1900,100,Tea
1901,94.48084,Tea
1902,98.91441,Tea
1903,73.65305,Tea
1904,87.35852,Tea
1905,85.821205,Tea
1906,73.61611,Tea
1907,68.96384,Tea
1908,65.22831,Tea
1909,72.15848,Tea
1910,71.17928,Tea
1911,71.77589,Tea
1912,71.195015,Tea
1913,70.568085,Tea
1914,69.91265,Tea
1915,67.306076,Tea
1916,61.612892,Tea
1917,65.198845,Tea
1918,64.93295,Tea
1919,54.25213,Tea
1920,37.524967,Tea
1921,36.478504,Tea
1922,54.563225,Tea
1923,68.56605,Tea
1924,69.97397,Tea
1925,67.837975,Tea
1926,72.47608,Tea
1927,72.74707,Tea
1928,64.90606,Tea
1929,63.228977,Tea
1930,60.546005,Tea
1931,49.702946,Tea
1932,33.009857,Tea
1933,52.329407,Tea
1934,68.48187,Tea
1935,63.010925,Tea
1936,64.280396,Tea
1937,71.599236,Tea
1938,68.36526,Tea
1939,60.28846,Tea
1940,60.96664,Tea
1941,74.312355,Tea
1942,87.52137,Tea
1943,74.16433,Tea
1944,71.2015,Tea
1945,69.61924,Tea
1946,60.76455,Tea
1947,73.63295,Tea
1948,72.65863,Tea
1949,78.13577,Tea
1950,68.94116,Tea
1951,80.18801,Tea
1952,65.43951,Tea
1953,77.72776,Tea
1954,111.71327,Tea
1955,106.356285,Tea
1956,101.34796,Tea
1957,89.760475,Tea
1958,90.465904,Tea
1959,89.02398,Tea
1960,88.60403,Tea
1961,81.07966,Tea
1962,81.95429,Tea
1963,79.317665,Tea
1964,76.14226,Tea
1965,80.7832,Tea
1966,68.65184,Tea
1967,63.805954,Tea
1968,54.834816,Tea
1969,50.47463,Tea
1970,54.79426,Tea
1971,53.522667,Tea
1972,47.640167,Tea
1973,45.19856,Tea
1974,56.51252,Tea
1975,54.068695,Tea
1976,53.13782,Tea
1977,82.187584,Tea
1978,55.08165,Tea
1979,52.871323,Tea
1980,51.336796,Tea
1981,41.20947,Tea
1982,40.761562,Tea
1983,53.66435,Tea
1984,67.252495,Tea
1985,41.440334,Tea
1986,38.593304,Tea
1987,37.04723,Tea
1988,33.9981,Tea
1989,37.50864,Tea
1990,40.12304,Tea
1991,31.326242,Tea
1992,29.143229,Tea
1993,28.483273,Tea
1994,25.66281,Tea
1995,24.896057,Tea
1996,26.974712,Tea
1997,32.71469,Tea
1998,31.993238,Tea
1999,28.135727,Tea
2000,27.770483,Tea
2001,22.999825,Tea
2002,21.336422,Tea
2003,21.008402,Tea
2004,22.743172,Tea
2005,21.495146,Tea
2006,23.66797,Tea
2007,25.029034,Tea
2008,28.653925,Tea
2009,32.361507,Tea
2010,33.720024,Tea
2011,33.092197,Tea
2012,32.16927,Tea
2013,31.313274,Tea
2014,29.289791,Tea
