Entity,Code,Year,Total food expenditure,Total consumer expenditure,Continent
Abkhazia,OWID_ABK,2015,,,Asia
Afghanistan,AFG,2015,,,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,,Asia
Aland Islands,ALA,2015,,,Europe
Albania,ALB,2015,,,Europe
Algeria,DZA,2017,651.2,1745.6,
Algeria,DZA,2018,645.6,1732.2,
Algeria,DZA,2019,556.0795,1606.7206,
Algeria,DZA,2020,520.0589,1497.2292,
Algeria,DZA,2021,614.0008,1648.0647,
Algeria,DZA,2015,,,Africa
American Samoa,ASM,2015,,,Oceania
Andorra,AND,2015,,,Europe
Angola,AGO,2017,1144.6,2358.8,
Angola,AGO,2018,893.6,1838.3,
Angola,AGO,2019,451.0519,996.2011,
Angola,AGO,2020,513.12964,1116.6483,
Angola,AGO,2021,657.6129,1322.1558,
Angola,AGO,2015,,,Africa
Anguilla,AIA,2015,,,North America
Antarctica,ATA,2015,,,Antarctica
Antigua and Barbuda,ATG,2015,,,North America
Argentina,ARG,2017,2715.9,9604,
Argentina,ARG,2018,2139.8,7566,
Argentina,ARG,2019,859.241,4295.7856,
Argentina,ARG,2020,1090.9214,5318.52,
Argentina,ARG,2021,1494.6925,6443.1685,
Argentina,ARG,2015,,,South America
Armenia,ARM,2015,,,Asia
Aruba,ABW,2015,,,North America
Australia,AUS,2017,3016,32420.4,
Australia,AUS,2018,3003.6,32390,
Australia,AUS,2019,2546.8447,30309.615,
Australia,AUS,2020,2722.4756,28348.242,
Australia,AUS,2021,3239.4424,32475.715,
Australia,AUS,2015,,,Oceania
Austria,AUT,2017,2434.6,24709.9,
Austria,AUT,2018,2618.2,26656.1,
Austria,AUT,2019,2291.102,26436.785,
Austria,AUT,2020,2085.374,24142.15,
Austria,AUT,2021,2987.647,26409.473,
Austria,AUT,2015,,,Europe
Austria-Hungary,OWID_AUH,2015,,,Europe
Azerbaijan,AZE,2017,943.7,2423.4,
Azerbaijan,AZE,2018,989.6,2561.7,
Azerbaijan,AZE,2019,1093.2401,2794.9707,
Azerbaijan,AZE,2020,1055.4464,2582.7498,
Azerbaijan,AZE,2021,1223.5452,2809.143,
Azerbaijan,AZE,2015,,,Asia
Baden,OWID_BAD,2015,,,Europe
Bahamas,BHS,2015,,,North America
Bahrain,BHR,2017,1576.3,11837,
Bahrain,BHR,2018,1674.1,12639.7,
Bahrain,BHR,2019,1230.5845,10038.752,
Bahrain,BHR,2020,1140.0425,9339.968,
Bahrain,BHR,2021,1239.1884,9485.243,
Bahrain,BHR,2015,,,Asia
Bangladesh,BGD,2017,546.7,1022.1,
Bangladesh,BGD,2018,611.9,1143.3,
Bangladesh,BGD,2019,649.29535,1236.752,
Bangladesh,BGD,2020,723.7309,1360.0371,
Bangladesh,BGD,2021,791.20123,1499.9324,
Bangladesh,BGD,2015,,,Asia
Barbados,BRB,2015,,,North America
Bavaria,OWID_BAV,2015,,,Europe
Belarus,BLR,2017,1025.4,3135.5,
Belarus,BLR,2018,1090.4,3371.5,
Belarus,BLR,2019,923.08716,3096.3699,
Belarus,BLR,2020,1014.7107,3228.76,
Belarus,BLR,2021,1179.2625,3671.2693,
Belarus,BLR,2015,,,Europe
Belgium,BEL,2017,2834.2,21176.7,
Belgium,BEL,2018,3034.7,22605.9,
Belgium,BEL,2019,2694.3694,23210.56,
Belgium,BEL,2020,2454.2979,21187.355,
Belgium,BEL,2021,3260.3809,24189.252,
Belgium,BEL,2015,,,Europe
Belize,BLZ,2015,,,North America
Benin,BEN,2015,,,Africa
Bermuda,BMU,2015,,,North America
Bhutan,BTN,2015,,,Asia
Bolivia,BOL,2017,667.5,2286.4,
Bolivia,BOL,2018,696.3,2389.6,
Bolivia,BOL,2019,649.1287,2421.5112,
Bolivia,BOL,2020,602.91113,2232.8782,
Bolivia,BOL,2021,659.9653,2261.037,
Bolivia,BOL,2015,,,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,North America
Bosnia and Herzegovina,BIH,2017,1282.7,4174.5,
Bosnia and Herzegovina,BIH,2018,1403.8,4576.8,
Bosnia and Herzegovina,BIH,2019,1227.2747,4614.92,
Bosnia and Herzegovina,BIH,2020,1205.5502,4578.6377,
Bosnia and Herzegovina,BIH,2021,1421.5299,4734.8525,
Bosnia and Herzegovina,BIH,2015,,,Europe
Botswana,BWA,2015,,,Africa
Bouvet Island,BVT,2015,,,Antarctica
Brazil,BRA,2017,954.6,6069.7,
Brazil,BRA,2018,866.3,5514.5,
Brazil,BRA,2019,599.6366,4242.923,
Brazil,BRA,2020,655.79486,4154.099,
Brazil,BRA,2021,722.0721,4442.8306,
Brazil,BRA,2015,,,South America
British Indian Ocean Territory,IOT,2015,,,Asia
British Virgin Islands,VGB,2015,,,North America
Brunei,BRN,2015,,,Asia
Bulgaria,BGR,2017,1008.8,5257,
Bulgaria,BGR,2018,1172.1,6069.8,
Bulgaria,BGR,2019,1038.902,6172.471,
Bulgaria,BGR,2020,1123.2827,6263.7417,
Bulgaria,BGR,2021,1338.8458,6924.803,
Bulgaria,BGR,2015,,,Europe
Burkina Faso,BFA,2015,,,Africa
Burundi,BDI,2015,,,Africa
Cambodia,KHM,2017,468.9,1103.1,
Cambodia,KHM,2018,500.2,1181.6,
Cambodia,KHM,2019,495.7677,1316.1677,
Cambodia,KHM,2020,457.17178,1181.6078,
Cambodia,KHM,2021,546.4503,1279.3658,
Cambodia,KHM,2015,,,Asia
Cameroon,CMR,2017,453.2,998.2,
Cameroon,CMR,2018,501.3,1105.6,
Cameroon,CMR,2019,469.00677,1071.0068,
Cameroon,CMR,2020,456.21967,1043.429,
Cameroon,CMR,2021,540.9608,1196.5359,
Cameroon,CMR,2015,,,Africa
Canada,CAN,2017,2291.3,25209,
Canada,CAN,2018,2350.9,25961.2,
Canada,CAN,2019,2098.342,25573.51,
Canada,CAN,2020,2294.0552,24127.32,
Canada,CAN,2021,2766.5105,27704.783,
Canada,CAN,2015,,,North America
Cape Verde,CPV,2015,,,Africa
Cayman Islands,CYM,2015,,,North America
Central African Republic,CAF,2015,,,Africa
Chad,TCD,2015,,,Africa
Channel Islands,OWID_CIS,2015,,,Europe
Chile,CHL,2017,1521.1,9418,
Chile,CHL,2018,1613.5,10072.7,
Chile,CHL,2019,1275.6061,8185.616,
Chile,CHL,2020,1230.2683,7740.0596,
Chile,CHL,2021,1806.7124,9763.548,
Chile,CHL,2015,,,South America
China,CHN,2017,737,3397.1,
China,CHN,2018,814.5,3779.4,
China,CHN,2019,743.21545,3958.0322,
China,CHN,2020,882.5526,4166.721,
China,CHN,2021,933.8022,4680.1055,
China,CHN,2015,,,Asia
Christmas Island,CXR,2015,,,Asia
Cocos Islands,CCK,2015,,,Asia
Colombia,COL,2017,827.4,4307.3,
Colombia,COL,2018,869.2,4523.4,
Colombia,COL,2019,561.54987,3859.8394,
Colombia,COL,2020,555.18396,3680.4521,
Colombia,COL,2021,806.6916,4337.639,
Colombia,COL,2015,,,South America
Comoros,COM,2015,,,Africa
Congo,COG,2015,,,Africa
Cook Islands,COK,2015,,,Oceania
Costa Rica,CRI,2017,2109.1,8159.4,
Costa Rica,CRI,2018,2143,8332.2,
Costa Rica,CRI,2019,2220.0195,8356.632,
Costa Rica,CRI,2020,2211.117,7933.796,
Costa Rica,CRI,2021,2656.4326,8411.837,
Costa Rica,CRI,2015,,,North America
Cote d'Ivoire,CIV,2017,424.2,1048.6,
Cote d'Ivoire,CIV,2018,452.9,1142.3,
Cote d'Ivoire,CIV,2019,598.85657,1612.1804,
