Entity,Code,Year,Cost of a nutrient adequate diet
Albania,ALB,2017,2.471
Algeria,DZA,2017,2.323
Angola,AGO,2017,3.231
Anguilla,AIA,2017,2.433
Antigua and Barbuda,ATG,2017,3.017
Argentina,ARG,2017,2.625
Armenia,ARM,2017,2.208
Aruba,ABW,2017,2.835
Australia,AUS,2017,1.595
Austria,AUT,2017,2.256
Azerbaijan,AZE,2017,1.836
Bahamas,BHS,2017,4.683
Bahrain,BHR,2017,2.829
Bangladesh,BGD,2017,1.947
Barbados,BRB,2017,2.226
Belarus,BLR,2017,2.161
Belgium,BEL,2017,2.406
Belize,BLZ,2017,2.803
Benin,BEN,2017,2.498
Bermuda,BMU,2017,4.706
Bhutan,BTN,2017,2.802
Bolivia,BOL,2017,3.338
Bonaire,,2017,3.329
Bosnia and Herzegovina,BIH,2017,3.051
Botswana,BWA,2017,2.25
Brazil,BRA,2017,2.657
British Virgin Islands,VGB,2017,3.059
Brunei,BRN,2017,2.376
Bulgaria,BGR,2017,2.768
Burkina Faso,BFA,2017,2.538
Burundi,BDI,2017,1.589
Cambodia,KHM,2017,2.761
Cameroon,CMR,2017,2.065
Canada,CAN,2017,2.111
Cape Verde,CPV,2017,2.522
Cayman Islands,CYM,2017,2.231
Central African Republic,CAF,2017,1.706
Chad,TCD,2017,1.761
Chile,CHL,2017,2.179
China,CHN,2017,2.111
Colombia,COL,2017,2.526
Comoros,COM,2017,3.461
Congo,COG,2017,2.576
Costa Rica,CRI,2017,2.824
Cote d'Ivoire,CIV,2017,1.619
Croatia,HRV,2017,3.211
Curacao,CUW,2017,2.396
Cyprus,CYP,2017,2.068
Czechia,CZE,2017,2.361
Democratic Republic of Congo,COD,2017,2.049
Denmark,DNK,2017,1.728
Djibouti,DJI,2017,2.459
Dominica,DMA,2017,3.478
Dominican Republic,DOM,2017,2.876
East Asia & Pacific (WB),,2017,2.62
Ecuador,ECU,2017,2.512
Egypt,EGY,2017,2.29
El Salvador,SLV,2017,5.866
Equatorial Guinea,GNQ,2017,1.865
Estonia,EST,2017,2.554
Eswatini,SWZ,2017,2.244
Ethiopia,ETH,2017,2.004
Europe & Central Asia (WB),,2017,2.232
Fiji,FJI,2017,2.558
Finland,FIN,2017,2.465
France,FRA,2017,1.874
Gabon,GAB,2017,2.57
Gambia,GMB,2017,2.529
Germany,DEU,2017,2.224
Ghana,GHA,2017,2.516
Greece,GRC,2017,2.557
Grenada,GRD,2017,3.767
Guinea,GIN,2017,2.215
Guinea-Bissau,GNB,2017,1.857
Guyana,GUY,2017,3.606
Haiti,HTI,2017,2.929
High-income countries,,2017,2.411
Honduras,HND,2017,3.472
Hong Kong,HKG,2017,2.316
Hungary,HUN,2017,2.258
Iceland,ISL,2017,2.422
India,IND,2017,2.125
Indonesia,IDN,2017,2.664
Iran,IRN,2017,2.009
Iraq,IRQ,2017,2.505
Ireland,IRL,2017,2.026
Israel,ISR,2017,1.898
Italy,ITA,2017,2.226
Jamaica,JAM,2017,4.057
Japan,JPN,2017,3.557
Jordan,JOR,2017,1.61
Kazakhstan,KAZ,2017,1.753
Kenya,KEN,2017,1.851
Kuwait,KWT,2017,1.791
Kyrgyzstan,KGZ,2017,2.459
Laos,LAO,2017,2.901
Latin America & Caribbean (WB),,2017,3.056
Latvia,LVA,2017,2.029
Lesotho,LSO,2017,2.306
Liberia,LBR,2017,2.982
Lithuania,LTU,2017,1.969
Low-income countries,,2017,2.054
Lower-middle-income countries,,2017,2.467
